OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
O1        O1        YES       Oh        -0.6390   
C1        C2        YES       Cg        0.3740    
C2        C3        YES       Cg        0.3570    
C3        C4        YES       Cg        0.2590    
C4        C5        YES       Cg        0.2030    
C5        C6        YES       Cg        0.1400    
C6        C7        YES       Cg        0.3190    
O2        O8        YES       Oh        -0.7260   
O3        O9        YES       Oh        -0.6940   
O4        O10       YES       Oh        -0.6640   
O5        O11       YES       Os        -0.4020   
O6        O12       YES       Oh        -0.6930   
HC        H13       YES       H2        0.0000    
HC1       H14       YES       H1        0.0000    
HC2       H15       YES       H1        0.0000    
HC3       H16       YES       H1        0.0000    
HC4       H17       YES       H1        0.0000    
HC5       H18       YES       H1        0.0000    
HC6       H19       YES       H1        0.0000    
HO2       H20       YES       Ho        0.4320    
HO3       H21       YES       Ho        0.4330    
HO        H22       YES       Ho        0.4370    
HO6       H23       YES       Ho        0.4190    
C10       C24       NO        NONE      0.0000    
1H10      H25       NO        NONE      0.0000    
2H10      H26       NO        NONE      0.0000    
3H10      H27       NO        NONE      0.0000    
N3        N28       NO        NONE      0.0000    
C2        C29       NO        NONE      0.0000    
H2        H30       NO        NONE      0.0000    
C4        C31       NO        NONE      0.0000    
C5        C32       NO        NONE      0.0000    
H5        H33       NO        NONE      0.0000    
C6        C34       NO        NONE      0.0000    
H6        H35       NO        NONE      0.0000    
C7        C36       NO        NONE      0.0000    
C8        C37       NO        NONE      0.0000    
C9        C38       NO        NONE      0.0000    
C1'       C39       NO        NONE      0.0000    
H7        H40       NO        NONE      0.0000    
H8        H41       NO        NONE      0.0000    
