OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
HO1       HO1       YES       Ho        0.4450    
O1        O1        YES       Oh        -0.6390   
C1        C1        YES       Cg        0.3740    
C2        C2        YES       Cg        0.3570    
C3        C3        YES       Cg        0.2590    
C4        C4        YES       Cg        0.2030    
C5        C5        YES       Cg        0.1400    
C6        C6        YES       Cg        0.3190    
O2        O2        YES       Oh        -0.7260   
O3        O3        YES       Oh        -0.6940   
O4        O4        YES       Oh        -0.6640   
O5        O5        YES       Os        -0.4020   
O6        O6        YES       Oh        -0.6930   
HC        HC        YES       H2        0.0000    
HC1       HC1       YES       H1        0.0000    
HC2       HC2       YES       H1        0.0000    
HC3       HC3       YES       H1        0.0000    
HC4       HC4       YES       H1        0.0000    
HC5       HC5       YES       H1        0.0000    
HC6       HC6       YES       H1        0.0000    
HO        HO        YES       Ho        0.4370    
HO2       HO2       YES       Ho        0.4320    
HO3       HO3       YES       Ho        0.4330    
HO6       HO6       YES       Ho        0.4190    
