OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       Cg        0.4330    
O1        O2        YES       Oh        -0.6390   
C2        C3        YES       Cg        0.2450    
O2        O4        YES       Oh        -0.7170   
C3        C5        YES       Cg        0.2520    
O3        O6        YES       Oh        -0.6960   
C4        C7        YES       Cg        0.3260    
O4        O8        YES       Oh        -0.7330   
C5        C9        YES       Cg        0.2760    
O5        O10       YES       Os        -0.5070   
C6        C11       YES       Cg        0.2660    
O6        O12       YES       Oh        -0.6880   
H1        H13       YES       H2        0.0000    
H2        H14       YES       H1        0.0000    
HO2       H15       YES       Ho        0.4460    
H3        H16       YES       H1        0.0000    
HO3       H17       YES       Ho        0.4310    
H4        H18       YES       H1        0.0000    
HO4       H19       YES       Ho        0.4380    
H5        H20       YES       H1        0.0000    
H61       H21       YES       H1        0.0000    
H62       H22       YES       H1        0.0000    
HO6       H23       YES       Ho        0.4220    
CL        Cl24      NO        NONE      0.0000    
CAA       C25       NO        NONE      0.0000    
CAB       C26       NO        NONE      0.0000    
CAC       C27       NO        NONE      0.0000    
CAD       C28       NO        NONE      0.0000    
CAE       C29       NO        NONE      0.0000    
CAF       C30       NO        NONE      0.0000    
CAG       C31       NO        NONE      0.0000    
CAH       C32       NO        NONE      0.0000    
CAI       C33       NO        NONE      0.0000    
CAJ       C34       NO        NONE      0.0000    
CAK       C35       NO        NONE      0.0000    
CAL       C36       NO        NONE      0.0000    
CAN       C37       NO        NONE      0.0000    
NAO       N38       NO        NONE      0.0000    
HAB       H39       NO        NONE      0.0000    
HAC       H40       NO        NONE      0.0000    
HAE       H41       NO        NONE      0.0000    
HAH       H42       NO        NONE      0.0000    
HAI       H43       NO        NONE      0.0000    
HAK       H44       NO        NONE      0.0000    
HAL       H45       NO        NONE      0.0000    
