    34 18250
                    0.454131E+00   -0.453406E+01   -0.244703E+01
                    0.928139E-01   -0.652612E+01   -0.277426E+01
                    0.466681E+00   -0.357795E+01   -0.425987E+01
                    0.228167E+01   -0.432001E+01   -0.156637E+01
                   -0.151628E+01   -0.359245E+01   -0.946029E+00
                   -0.103368E+01   -0.207943E+01    0.117301E+01
                   -0.104728E+01   -0.327735E+01    0.283206E+01
                   -0.315083E+01   -0.844500E-01    0.144676E+01
                   -0.292201E+01    0.738775E+00    0.331414E+01
                   -0.553726E+01   -0.147862E+01    0.141110E+01
                   -0.527068E+01   -0.315389E+01    0.582066E+00
                   -0.833249E+01   -0.500915E+00    0.162515E+00
                   -0.783331E+01    0.422099E+00   -0.237311E+01
                   -0.931101E+01    0.138904E+01    0.187402E+01
                   -0.970889E+01   -0.287639E+01    0.179411E+00
                   -0.275639E+01    0.210609E+01   -0.418368E+00
                   -0.313008E+01    0.150907E+01   -0.233832E+01
                   -0.433852E+01    0.412598E+01    0.234785E+00
                   -0.347944E+01    0.564010E+01   -0.167142E+00
                   -0.182075E-01    0.300531E+01   -0.169340E+00
                    0.245727E+00    0.366298E+01    0.176111E+01
                    0.376896E+00    0.505260E+01   -0.185932E+01
                    0.100200E+01    0.646041E+01   -0.957622E+00
                    0.185576E+01    0.888415E+00   -0.640456E+00
                    0.160722E+01    0.181540E+00   -0.254689E+01
                    0.135609E+01   -0.101347E+01    0.115248E+01
                    0.458101E+01    0.172252E+01   -0.319392E+00
                    0.494837E+01    0.333964E+01   -0.151673E+01
                    0.488671E+01    0.224598E+01    0.163483E+01
                    0.619738E+01   -0.265161E+00   -0.100187E+01
                    0.892972E+01   -0.402481E+00    0.419149E+00
                    0.100734E+02   -0.255319E+01   -0.789580E+00
                    0.834859E+01   -0.728198E+00    0.306480E+01
                    0.100972E+02    0.200601E+01   -0.152121E+00
   -0.193342E+00   -0.145457E+02   -0.456820E+01   -0.756323E+00
   -0.194961E+00   -0.145457E+02   -0.456820E+01   -0.189405E+00
   -0.195301E+00   -0.145457E+02   -0.456820E+01    0.377512E+00
   -0.194325E+00   -0.145457E+02   -0.456820E+01    0.944430E+00
   -0.195767E+00   -0.145457E+02   -0.400128E+01   -0.132324E+01
   -0.198804E+00   -0.145457E+02   -0.400128E+01   -0.756323E+00
   -0.200620E+00   -0.145457E+02   -0.400128E+01   -0.189405E+00
   -0.201043E+00   -0.145457E+02   -0.400128E+01    0.377512E+00
   -0.200025E+00   -0.145457E+02   -0.400128E+01    0.944430E+00
   -0.197663E+00   -0.145457E+02   -0.400128E+01    0.151135E+01
   -0.195679E+00   -0.145457E+02   -0.343436E+01   -0.189016E+01
   -0.199920E+00   -0.145457E+02   -0.343436E+01   -0.132324E+01
   -0.203176E+00   -0.145457E+02   -0.343436E+01   -0.756323E+00
   -0.205164E+00   -0.145457E+02   -0.343436E+01   -0.189405E+00
   -0.205686E+00   -0.145457E+02   -0.343436E+01    0.377512E+00
   -0.204685E+00   -0.145457E+02   -0.343436E+01    0.944430E+00
   -0.202257E+00   -0.145457E+02   -0.343436E+01    0.151135E+01
   -0.198622E+00   -0.145457E+02   -0.343436E+01    0.207827E+01
   -0.198480E+00   -0.145457E+02   -0.286745E+01   -0.189016E+01
   -0.202836E+00   -0.145457E+02   -0.286745E+01   -0.132324E+01
   -0.206219E+00   -0.145457E+02   -0.286745E+01   -0.756323E+00
   -0.208335E+00   -0.145457E+02   -0.286745E+01   -0.189405E+00
   -0.208976E+00   -0.145457E+02   -0.286745E+01    0.377512E+00
   -0.208071E+00   -0.145457E+02   -0.286745E+01    0.944430E+00
   -0.205704E+00   -0.145457E+02   -0.286745E+01    0.151135E+01
